City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date,Rainfall(1h),Snowfall(1h)
113,Mana,5.66,-53.78,80.94,80,68,5.91,light rain,GF,2020-07-09 21:13:28,0.41,0.0
114,San Andres,12.58,-81.7,84.2,79,75,6.93,broken clouds,CO,2020-07-09 21:13:28,0.0,0.0
115,Tuktoyaktuk,69.45,-133.04,37.4,86,90,12.75,overcast clouds,CA,2020-07-09 21:13:29,0.0,0.0
116,Wahiawa,21.5,-158.02,87.8,58,40,9.17,scattered clouds,US,2020-07-09 21:13:29,0.0,0.0
117,Castro,-24.79,-50.01,49.1,70,100,1.48,overcast clouds,BR,2020-07-09 21:12:33,0.0,0.0
118,Arraial Do Cabo,-22.97,-42.03,73.4,78,75,17.22,broken clouds,BR,2020-07-09 21:10:00,0.0,0.0
119,Chalons-En-Champagne,48.95,4.37,75.2,60,0,6.93,clear sky,FR,2020-07-09 21:13:29,0.0,0.0
120,Ornskoldsvik,63.29,18.72,53.6,76,81,5.82,broken clouds,SE,2020-07-09 21:13:29,0.0,0.0
121,Port Alfred,-33.59,26.89,63.0,84,0,3.0,clear sky,ZA,2020-07-09 21:13:29,0.0,0.0
122,Lompoc,34.64,-120.46,66.0,68,11,16.11,few clouds,US,2020-07-09 21:12:09,0.0,0.0
123,Praia,14.92,-23.51,80.6,74,75,4.7,broken clouds,CV,2020-07-09 21:13:29,0.0,0.0
124,Gloversville,43.05,-74.34,88.0,55,1,3.36,clear sky,US,2020-07-09 21:13:30,0.0,0.0
125,Xichang,27.9,102.26,68.4,83,100,1.5,moderate rain,CN,2020-07-09 21:13:30,3.12,0.0
126,Laguna,38.42,-121.42,96.01,27,1,3.36,clear sky,US,2020-07-09 21:12:07,0.0,0.0
127,Pangnirtung,66.15,-65.71,50.0,71,75,16.11,broken clouds,CA,2020-07-09 21:11:06,0.0,0.0
128,Cidreira,-30.18,-50.21,52.61,67,0,14.58,clear sky,BR,2020-07-09 21:13:30,0.0,0.0
129,Salalah,17.02,54.09,82.4,88,75,2.24,broken clouds,OM,2020-07-09 21:13:30,0.0,0.0
130,Morwell,-38.23,146.4,43.0,97,100,1.03,overcast clouds,AU,2020-07-09 21:13:30,0.0,0.0
131,Saint-Raymond,45.47,-73.61,93.99,55,75,10.29,broken clouds,CA,2020-07-09 21:13:30,0.0,0.0
132,Baykit,61.67,96.37,47.73,80,100,2.35,overcast clouds,RU,2020-07-09 21:13:31,0.0,0.0
133,Vestmannaeyjar,63.44,-20.27,53.47,75,81,21.63,broken clouds,IS,2020-07-09 21:11:37,0.0,0.0
134,Klaksvik,62.23,-6.59,48.2,93,98,6.93,overcast clouds,FO,2020-07-09 21:13:31,0.0,0.0
135,Sentyabrskiy,62.23,-6.59,48.2,93,98,6.93,overcast clouds,FO,2020-07-09 21:13:31,0.0,0.0
136,Fukue,32.69,128.84,76.03,89,100,26.89,light rain,JP,2020-07-09 21:13:31,0.44,0.0
137,Acapulco,16.86,-99.89,87.8,74,75,13.87,broken clouds,MX,2020-07-09 21:13:31,0.0,0.0
138,Lagoa,39.05,-27.98,69.13,69,1,3.13,clear sky,PT,2020-07-09 21:13:31,0.0,0.0
139,Clyde River,70.47,-68.59,42.8,93,75,6.93,light intensity shower rain,CA,2020-07-09 21:13:31,0.0,0.0
140,La Tuque,47.43,-72.78,74.84,73,100,6.26,overcast clouds,CA,2020-07-09 21:13:31,0.0,0.0
141,Port Elizabeth,-33.92,25.57,59.0,82,28,9.17,scattered clouds,ZA,2020-07-09 21:13:32,0.0,0.0
142,Lebu,-37.62,-73.65,54.07,93,100,23.85,light rain,CL,2020-07-09 21:13:32,0.88,0.0
143,Petropavlovsk-Kamchatskiy,53.05,158.65,57.2,100,75,2.24,broken clouds,RU,2020-07-09 21:13:32,0.0,0.0
144,Chicama,-7.84,-79.15,70.79,58,6,9.95,clear sky,PE,2020-07-09 21:13:32,0.0,0.0
145,Umzimvubu,-7.84,-79.15,70.79,58,6,9.95,clear sky,PE,2020-07-09 21:13:32,0.0,0.0
146,Attawapiskat,-7.84,-79.15,70.79,58,6,9.95,clear sky,PE,2020-07-09 21:13:32,0.0,0.0
147,Nanortalik,60.14,-45.24,44.96,93,100,10.92,light rain,GL,2020-07-09 21:13:32,0.35,0.0
148,Ati,13.22,18.34,85.14,51,100,14.0,overcast clouds,TD,2020-07-09 21:13:32,0.0,0.0
149,Japura,-0.32,102.35,71.51,97,97,1.01,overcast clouds,ID,2020-07-09 21:13:33,0.0,0.0
150,Mar Del Plata,-38.0,-57.56,50.0,65,100,9.17,overcast clouds,AR,2020-07-09 21:13:33,0.0,0.0
151,Nkhata Bay,-11.61,34.29,69.1,82,10,4.54,light rain,MW,2020-07-09 21:13:33,0.14,0.0
152,College,64.86,-147.8,57.2,87,90,4.7,light rain,US,2020-07-09 21:13:33,0.89,0.0
153,Bandarbeyla,9.49,50.81,79.34,73,92,32.3,overcast clouds,SO,2020-07-09 21:13:33,0.0,0.0
154,Tarudant,9.49,50.81,79.34,73,92,32.3,overcast clouds,SO,2020-07-09 21:13:33,0.0,0.0
155,Puerto Ayora,-0.74,-90.35,68.0,92,80,8.01,broken clouds,EC,2020-07-09 21:13:33,0.0,0.0
156,Salina Cruz,16.17,-95.2,93.51,52,49,4.14,scattered clouds,MX,2020-07-09 21:13:33,0.0,0.0
157,Haikou,20.05,110.34,82.4,78,100,8.95,overcast clouds,CN,2020-07-09 21:13:34,0.0,0.0
158,Camacha,33.08,-16.33,69.8,77,20,12.75,few clouds,PT,2020-07-09 21:13:34,0.0,0.0
159,Asau,46.43,26.4,59.0,90,2,3.42,clear sky,RO,2020-07-09 21:13:34,0.0,0.0
160,Ankara,39.92,32.85,73.4,46,0,13.87,clear sky,TR,2020-07-09 21:13:14,0.0,0.0
161,Ritchie,-29.04,24.6,55.4,54,8,9.17,clear sky,ZA,2020-07-09 21:13:34,0.0,0.0
162,Saint George,37.1,-113.58,100.99,5,0,1.01,clear sky,US,2020-07-09 21:13:25,0.0,0.0
163,Sedan,49.67,5.0,68.0,45,20,3.69,few clouds,FR,2020-07-09 21:13:34,0.0,0.0
164,Tura,25.52,90.22,75.16,98,100,3.38,moderate rain,IN,2020-07-09 21:13:34,2.35,0.0
165,Hualmay,-11.1,-77.61,65.89,69,6,12.39,clear sky,PE,2020-07-09 21:13:35,0.0,0.0
166,Atikokan,48.76,-91.62,83.88,38,100,12.86,overcast clouds,CA,2020-07-09 21:13:35,0.0,0.0
167,Felanitx,39.47,3.15,78.8,57,20,5.82,few clouds,ES,2020-07-09 21:13:35,0.0,0.0
168,Suwanee,34.05,-84.07,91.0,88,75,5.82,moderate rain,US,2020-07-09 21:13:35,3.05,0.0
169,Cape Town,-33.93,18.42,53.6,93,75,6.93,heavy intensity rain,ZA,2020-07-09 21:09:31,4.57,0.0
170,Kurilsk,45.23,147.88,56.61,86,100,1.97,overcast clouds,RU,2020-07-09 21:13:35,0.0,0.0
171,Zhigansk,66.77,123.37,60.53,55,100,8.03,overcast clouds,RU,2020-07-09 21:13:36,0.0,0.0
172,Yar-Sale,66.83,70.83,52.84,75,0,11.48,clear sky,RU,2020-07-09 21:13:36,0.0,0.0
