City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Sawtell,AU,2020-07-07 21:51:51,-30.38,153.1,53.6,87,90,11.41
166,Bandundu,CD,2020-07-07 21:51:51,-3.32,17.37,77.81,36,2,1.52
167,Turayf,SA,2020-07-07 21:51:51,31.67,38.66,80.6,39,0,16.11
168,Ngama,TD,2020-07-07 21:51:51,11.78,17.17,82.74,58,82,8.05
169,Vad,RU,2020-07-07 21:51:51,55.53,44.21,70.99,87,0,4.99
170,Bilma,NE,2020-07-07 21:51:52,18.69,12.92,89.91,15,1,5.68
171,Casper,US,2020-07-07 21:51:52,42.87,-106.31,96.01,8,1,24.16
172,Reforma,MX,2020-07-07 21:50:14,18.1,-91.02,92.39,62,100,5.21
173,Porto Velho,BR,2020-07-07 21:51:52,-8.76,-63.9,89.6,49,40,4.7
174,Nicoya,CR,2020-07-07 21:51:52,10.15,-85.45,87.8,52,40,13.87
175,Hasaki,JP,2020-07-07 21:51:52,35.73,140.83,80.6,83,75,11.41
176,Pringsewu,ID,2020-07-07 21:51:53,-5.36,104.97,72.28,92,74,1.12
177,Quepos,CR,2020-07-07 21:51:53,9.42,-84.17,82.4,57,40,13.87
178,Portland,US,2020-07-07 21:48:13,45.52,-122.68,68.0,68,90,4.63
179,Tuatapere,NZ,2020-07-07 21:51:39,-46.13,167.68,39.0,83,100,3.0
180,Ambilobe,MG,2020-07-07 21:51:53,-13.2,49.05,72.1,86,78,3.2
181,Yagodnoye,RU,2020-07-07 21:51:53,62.55,149.67,63.41,48,100,4.85
182,Port Hedland,AU,2020-07-07 21:51:53,-20.32,118.57,57.2,28,35,8.05
183,Ochamchira,GE,2020-07-07 21:51:53,42.71,41.47,77.27,63,86,7.02
184,Severo-Kurilsk,RU,2020-07-07 21:51:54,50.68,156.12,52.83,85,26,14.83
185,Honiara,SB,2020-07-07 21:51:54,-9.43,159.95,80.6,83,40,6.93
186,Mar Del Plata,AR,2020-07-07 21:51:12,-38.0,-57.56,46.0,75,40,4.7
187,Kenai,US,2020-07-07 21:51:54,60.55,-151.26,64.4,72,20,5.82
188,Port Lincoln,AU,2020-07-07 21:51:54,-34.73,135.87,47.57,64,0,10.47
189,Mae Sai,TH,2020-07-07 21:51:54,20.43,99.88,75.99,100,90,11.41
190,Norilsk,RU,2020-07-07 21:51:54,69.35,88.2,50.0,87,0,4.47
191,Broken Hill,AU,2020-07-07 21:51:55,-31.95,141.43,30.2,86,0,6.31
192,Broome,US,2020-07-07 21:51:55,42.25,-75.83,84.0,61,40,6.93
